#,Company,Symbol,Portfolio%,Price,Chg,% Chg
1,Microsoft Corp,MSFT,7.23%,426.28,1.69,(0.40%)
2,Apple Inc.,AAPL,5.60%,169.67,1.22,(0.72%)
3,Nvidia Corp,NVDA,4.93%,853.54,-17.79,(-2.04%)
4,Amazon.com Inc,AMZN,3.88%,185.67,0.48,(0.26%)
5,"Meta Platforms, Inc. Class A",META,2.62%,516.9,-2.35,(-0.45%)
6,Alphabet Inc. Class A,GOOGL,2.09%,156.6,1.75,(1.13%)
7,Alphabet Inc. Class C,GOOG,1.76%,158.14,2.0,(1.28%)
8,Berkshire Hathaway Class B,BRK.B,1.73%,414.69,-1.28,(-0.31%)
9,Eli Lilly & Co.,LLY,1.42%,757.24,-20.05,(-2.58%)
10,Broadcom Inc.,AVGO,1.35%,1334.08,-2.02,(-0.15%)
11,Jpmorgan Chase & Co.,JPM,1.31%,197.15,-1.33,(-0.67%)
12,"Tesla, Inc.",TSLA,1.10%,176.88,3.9,(2.25%)
13,Exxon Mobil Corporation,XOM,1.10%,121.18,0.63,(0.52%)
14,Visa Inc.,V,1.01%,276.72,-1.04,(-0.37%)
15,Unitedhealth Group Incorporated,UNH,0.97%,459.72,3.72,(0.82%)
16,Mastercard Incorporated,MA,0.90%,472.16,-6.69,(-1.40%)
17,Procter & Gamble Company,PG,0.84%,156.66,0.62,(0.40%)
18,Johnson & Johnson,JNJ,0.84%,152.29,0.7,(0.46%)
19,"Home Depot, Inc.",HD,0.83%,361.42,-0.63,(-0.17%)
20,"Merck & Co., Inc.",MRK,0.73%,126.71,0.15,(0.12%)
21,Costco Wholesale Corp,COST,0.72%,718.59,6.78,(0.95%)
22,Abbvie Inc.,ABBV,0.69%,170.14,0.34,(0.20%)
23,"Salesforce, Inc.",CRM,0.67%,302.37,0.64,(0.21%)
24,Chevron Corporation,CVX,0.64%,162.0,0.73,(0.45%)
25,Advanced Micro Devices,AMD,0.63%,170.78,0.88,(0.52%)
26,Netflix Inc,NFLX,0.62%,618.2,-10.21,(-1.62%)
27,Bank of America Corporation,BAC,0.59%,37.73,0.23,(0.61%)
28,Walmart Inc.,WMT,0.59%,59.79,0.01,(0.02%)
29,"Pepsico, Inc.",PEP,0.53%,170.61,1.03,(0.61%)
30,Coca-Cola Company,KO,0.53%,59.72,0.45,(0.76%)
31,Linde Plc,LIN,0.51%,457.94,-3.73,(-0.81%)
32,"Thermo Fisher Scientific, Inc.",TMO,0.51%,589.2,10.4,(1.80%)
33,Adobe Inc.,ADBE,0.50%,492.55,8.27,(1.71%)
34,The Walt Disney Company,DIS,0.49%,117.97,0.62,(0.53%)
35,Accenture Plc,ACN,0.48%,334.45,2.65,(0.80%)
36,Wells Fargo & Co.,WFC,0.48%,57.58,-0.21,(-0.36%)
37,Oracle Corp,ORCL,0.45%,123.23,-1.12,(-0.90%)
38,"Cisco Systems, Inc.",CSCO,0.45%,50.01,1.77,(3.67%)
39,Mcdonald's Corporation,MCD,0.44%,269.44,1.88,(0.70%)
40,Qualcomm Inc,QCOM,0.44%,175.57,1.95,(1.12%)
41,Abbott Laboratories,ABT,0.44%,112.44,1.92,(1.74%)
42,Caterpillar Inc.,CAT,0.44%,371.9,-1.57,(-0.42%)
43,Intuit Inc,INTU,0.41%,644.09,-1.19,(-0.18%)
44,Applied Materials Inc,AMAT,0.40%,210.41,1.37,(0.66%)
45,International Business Machines Corporation,IBM,0.40%,189.31,-0.51,(-0.27%)
46,Verizon Communications,VZ,0.40%,40.84,-0.89,(-2.13%)
47,General Electric Company,GE,0.39%,154.49,-2.03,(-1.30%)
48,Comcast Corp,CMCSA,0.37%,40.15,-0.56,(-1.38%)
49,"Servicenow, Inc.",NOW,0.37%,782.22,-3.38,(-0.43%)
50,Intel Corp,INTC,0.37%,38.33,0.35,(0.92%)
51,Danaher Corporation,DHR,0.37%,249.8,5.55,(2.27%)
52,Conocophillips,COP,0.36%,132.25,-0.17,(-0.13%)
53,"Uber Technologies, Inc.",UBER,0.35%,75.14,0.11,(0.15%)
54,Texas Instruments Incorporated,TXN,0.35%,173.46,4.0,(2.36%)
55,Pfizer Inc.,PFE,0.34%,26.78,0.2,(0.75%)
56,Union Pacific Corp.,UNP,0.34%,240.79,0.5,(0.21%)
57,Amgen Inc,AMGN,0.33%,270.36,1.16,(0.43%)
58,Philip Morris International Inc.,PM,0.32%,91.07,0.75,(0.83%)
59,Lowe's Companies Inc.,LOW,0.32%,244.39,1.8,(0.74%)
60,S&p Global Inc.,SPGI,0.32%,435.0,0.89,(0.21%)
61,Intuitive Surgical Inc.,ISRG,0.31%,390.96,4.03,(1.04%)
62,"Micron Technology, Inc.",MU,0.31%,122.63,-0.32,(-0.26%)
63,Rtx Corporation,RTX,0.31%,101.6,-0.28,(-0.27%)
64,Goldman Sachs Group Inc.,GS,0.31%,410.71,0.17,(0.04%)
65,"Nextra Energy, Inc.",NEE,0.30%,65.38,0.52,(0.80%)
66,"Honeywell International, Inc.",HON,0.30%,198.41,0.65,(0.33%)
67,"Eaton Corporation, Plcs",ETN,0.30%,313.87,-11.95,(-3.67%)
68,American Express Company,AXP,0.29%,219.84,-4.27,(-1.91%)
69,Lam Research Corp,LRCX,0.29%,973.34,6.08,(0.63%)
70,Booking Holdings Inc.,BKNG,0.29%,3581.48,-19.69,(-0.55%)
71,Progressive Corporation,PGR,0.28%,204.81,-5.58,(-2.65%)
72,At&t Inc.,T,0.28%,16.9,-0.35,(-2.03%)
73,"Elevance Health, Inc.",ELV,0.27%,514.4,4.4,(0.86%)
74,Stryker Corporation,SYK,0.27%,350.91,1.16,(0.33%)
75,Citigroup Inc.,C,0.27%,61.66,-0.07,(-0.11%)
